Date,Province,Industry,Work Type,Gender,Age Group,Avg Hourly Wage,Median Hourly Wage,Avg Weekly Wage,Median Weekly Wage
2024-01,Ontario,Manufacturing,Full-time,Male,35-44,28.8,27.36,934.4,841.81
2024-01,Ontario,Manufacturing,Full-time,Male,45-54,23.43,22.96,718.01,826.31
2024-01,Ontario,Manufacturing,Full-time,Male,55-64,20.41,21.12,627.35,806.66
2024-01,Ontario,Manufacturing,Full-time,Male,65+,26.56,26.19,1036.07,967.47
2024-01,Ontario,Manufacturing,Full-time,Female,15-24,15.69,16.18,524.23,486.94
2024-01,Ontario,Manufacturing,Full-time,Female,25-34,18.62,19.13,563.12,628.23
2024-01,Ontario,Manufacturing,Full-time,Female,35-44,25.8,25.65,896.79,945.35
2024-01,Ontario,Manufacturing,Full-time,Female,45-54,26.76,26.79,860.62,944.94
2024-01,Ontario,Manufacturing,Full-time,Female,55-64,37.67,36.22,1250.39,1292.52
2024-01,Ontario,Manufacturing,Full-time,Female,65+,35.08,35.39,1369.11,1393.28
2024-01,Ontario,Manufacturing,Full-time,Non-binary,15-24,23.38,24.23,900.25,962.22
2024-01,Ontario,Manufacturing,Full-time,Non-binary,25-34,21.46,21.19,783.42,729.04
2024-01,Ontario,Manufacturing,Full-time,Non-binary,35-44,45.84,45.12,1609.41,1693.11
2024-01,Ontario,Manufacturing,Full-time,Non-binary,45-54,23.61,24.17,922.43,893.04
2024-01,Ontario,Manufacturing,Full-time,Non-binary,55-64,18.35,17.72,695.43,609.55
2024-01,Ontario,Manufacturing,Full-time,Non-binary,65+,42.92,42.53,1307.16,1512.97
2024-01,Ontario,Manufacturing,Part-time,Male,15-24,20.08,19.43,613.11,603.75
2024-01,Ontario,Manufacturing,Part-time,Male,25-34,45.48,44.12,1564.36,1423.25
2024-01,Ontario,Manufacturing,Part-time,Male,35-44,43.06,41.73,1678.9,1403.52
2024-01,Ontario,Manufacturing,Part-time,Male,45-54,31.33,31.01,1114.26,1121.54
2024-01,Ontario,Manufacturing,Part-time,Male,55-64,44.14,43.5,1343.5,1490.52
2024-01,Ontario,Manufacturing,Part-time,Male,65+,29.24,29.38,1104.98,972.45
2024-01,Ontario,Manufacturing,Part-time,Female,15-24,44.62,45.13,1752.25,1410.28
2024-01,Ontario,Manufacturing,Part-time,Female,25-34,19.91,19.37,760.27,691.1
2024-01,Ontario,Manufacturing,Part-time,Female,35-44,46.88,44.55,1414.84,1654.2
2024-01,Ontario,Manufacturing,Part-time,Female,45-54,42.75,43.12,1671.54,1509.68
2024-01,Ontario,Manufacturing,Part-time,Female,55-64,38.7,40.32,1187.38,1210.82
2024-01,Ontario,Manufacturing,Part-time,Female,65+,21.79,22.73,663.35,831.03
2024-01,Ontario,Manufacturing,Part-time,Non-binary,15-24,39.73,38.84,1552.59,1437.39
2024-01,Ontario,Manufacturing,Part-time,Non-binary,25-34,20.03,19.76,764.56,769.84
2024-01,Ontario,Manufacturing,Part-time,Non-binary,35-44,47.9,46.55,1846.34,1495.43
2024-01,Ontario,Manufacturing,Part-time,Non-binary,45-54,28.79,29.71,1010.37,1033.27
2024-01,Ontario,Manufacturing,Part-time,Non-binary,55-64,20.39,19.87,757.86,791.75
2024-01,Ontario,Manufacturing,Part-time,Non-binary,65+,39.71,38.76,1259.7,1454.85
2024-01,Ontario,Retail Trade,Full-time,Male,15-24,33.16,34.39,1044.04,1054.25
2024-01,Ontario,Retail Trade,Full-time,Male,25-34,48.06,49.74,1774.48,1743.31
2024-01,Ontario,Retail Trade,Full-time,Male,35-44,17.29,16.97,538.63,650.03
2024-01,Ontario,Retail Trade,Full-time,Male,45-54,22.47,23.51,829.29,716.31
2024-01,Ontario,Retail Trade,Full-time,Male,55-64,25.53,24.69,941.04,750.36
2024-01,Ontario,Retail Trade,Full-time,Male,65+,35.63,36.97,1108.87,1320.19
2024-01,Ontario,Retail Trade,Full-time,Female,15-24,33.69,33.59,1083.59,1329.52
2024-01,Ontario,Retail Trade,Full-time,Female,25-34,44.78,44.64,1752.56,1566.97
2024-01,Ontario,Retail Trade,Full-time,Female,35-44,44.93,43.36,1660.75,1708.24
2024-01,Ontario,Retail Trade,Full-time,Female,45-54,41.18,39.7,1243.9,1236.47
2024-01,Ontario,Retail Trade,Full-time,Female,55-64,33.28,34.8,1154.25,1072.83
2024-01,Ontario,Retail Trade,Full-time,Female,65+,37.95,36.18,1157.37,1218.53
2024-01,Ontario,Retail Trade,Full-time,Non-binary,15-24,48.48,47.53,1807.01,1638.68
2024-01,Ontario,Retail Trade,Full-time,Non-binary,25-34,19.88,18.93,731.22,583.81
2024-01,Ontario,Retail Trade,Full-time,Non-binary,35-44,21.55,22.05,683.02,748.55
2024-01,Ontario,Retail Trade,Full-time,Non-binary,45-54,30.19,29.69,1012.95,1117.14
2024-01,Ontario,Retail Trade,Full-time,Non-binary,55-64,16.82,16.18,668.25,594.93
2024-01,Ontario,Retail Trade,Full-time,Non-binary,65+,49.12,50.29,1846.43,1630.6
2024-01,Ontario,Retail Trade,Part-time,Male,15-24,31.31,30.29,1240.69,1083.66
2024-01,Ontario,Retail Trade,Part-time,Male,25-34,33.79,33.8,1313.09,1315.18
2024-01,Ontario,Retail Trade,Part-time,Male,35-44,46.56,48.41,1816.02,1895.15
2024-01,Ontario,Retail Trade,Part-time,Male,45-54,48.97,46.6,1811.98,1659.42
2024-01,Ontario,Retail Trade,Part-time,Male,55-64,40.13,38.7,1355.86,1304.16
2024-01,Ontario,Retail Trade,Part-time,Male,65+,23.8,24.5,889.17,802.28
2024-01,Ontario,Retail Trade,Part-time,Female,15-24,18.53,18.11,654.73,652.31
2024-01,Ontario,Retail Trade,Part-time,Female,25-34,20.98,20.98,813.36,763.54
2024-01,Ontario,Retail Trade,Part-time,Female,35-44,20.11,19.11,665.09,612.13
2024-01,Ontario,Retail Trade,Part-time,Female,45-54,46.44,45.27,1752.01,1457.23
2024-01,Ontario,Retail Trade,Part-time,Female,55-64,23.53,24.53,849.97,870.76
2024-01,Ontario,Retail Trade,Part-time,Female,65+,48.93,49.65,1772.72,1920.44
2024-01,Ontario,Retail Trade,Part-time,Non-binary,15-24,29.62,31.05,913.37,1229.93
2024-01,Ontario,Retail Trade,Part-time,Non-binary,25-34,28.34,29.29,1055.53,1003.6
2024-01,Ontario,Retail Trade,Part-time,Non-binary,35-44,32.79,32.39,1077.73,1039.31
2024-01,Ontario,Retail Trade,Part-time,Non-binary,45-54,37.65,37.47,1389.31,1369.47
2024-01,Ontario,Retail Trade,Part-time,Non-binary,55-64,32.11,31.16,1173.1,987.22
2024-01,Ontario,Retail Trade,Part-time,Non-binary,65+,41.6,43.5,1495.58,1466.6
2024-01,Ontario,Transportation,Full-time,Male,15-24,25.16,24.73,934.21,865.93
2024-01,Ontario,Transportation,Full-time,Male,25-34,45.85,47.83,1817.84,1807.61
2024-01,Ontario,Transportation,Full-time,Male,35-44,49.06,48.6,1720.04,1741.24
2024-01,Ontario,Transportation,Full-time,Male,45-54,24.58,24.82,822.55,828.1
2024-01,Ontario,Transportation,Full-time,Male,55-64,46.61,48.66,1746.35,1886.93
2024-01,Ontario,Transportation,Full-time,Male,65+,21.39,22.08,707.49,662.41
2024-01,Ontario,Transportation,Full-time,Female,15-24,19.06,18.26,661.27,703.75
2024-01,Ontario,Transportation,Full-time,Female,25-34,29.78,28.62,1165.58,927.13
2024-01,Ontario,Transportation,Full-time,Female,35-44,20.56,21.0,751.38,801.95
2024-01,Ontario,Transportation,Full-time,Female,45-54,44.36,42.43,1536.96,1420.04
2024-01,Ontario,Transportation,Full-time,Female,55-64,27.02,28.17,841.33,1064.46
2024-01,Ontario,Transportation,Full-time,Female,65+,38.16,36.96,1350.54,1152.67
2024-01,Ontario,Transportation,Full-time,Non-binary,15-24,47.17,47.37,1801.2,1702.64
2024-01,Ontario,Transportation,Full-time,Non-binary,25-34,39.84,40.17,1260.22,1526.47
2024-01,Ontario,Transportation,Full-time,Non-binary,35-44,20.66,19.97,644.83,611.64
2024-01,Ontario,Transportation,Full-time,Non-binary,45-54,31.32,32.8,1211.0,1062.97
2024-01,Ontario,Transportation,Full-time,Non-binary,55-64,32.0,32.3,981.79,1003.58
2024-01,Ontario,Transportation,Full-time,Non-binary,65+,29.73,31.03,982.63,959.29
2024-01,Ontario,Transportation,Part-time,Male,15-24,22.35,22.69,803.97,713.65
2024-01,Ontario,Transportation,Part-time,Male,25-34,35.59,36.86,1153.21,1341.77
2024-01,Ontario,Transportation,Part-time,Male,35-44,17.29,17.83,580.72,581.36
2024-01,Ontario,Transportation,Part-time,Male,45-54,49.51,47.15,1683.62,1842.39
2024-01,Ontario,Transportation,Part-time,Male,55-64,25.73,26.17,902.72,948.62
2024-01,Ontario,Transportation,Part-time,Male,65+,21.89,22.03,788.09,667.11
2024-01,Ontario,Transportation,Part-time,Female,15-24,23.6,24.63,780.48,822.67
2024-01,Ontario,Transportation,Part-time,Female,25-34,31.58,30.53,1143.05,935.57
2024-01,Ontario,Transportation,Part-time,Female,35-44,33.23,33.44,1229.09,1171.8
2024-01,Ontario,Transportation,Part-time,Female,45-54,43.17,42.61,1645.57,1484.76
2024-01,Ontario,Transportation,Part-time,Female,55-64,49.92,50.85,1903.2,1751.53
2024-01,Ontario,Transportation,Part-time,Female,65+,46.49,45.27,1634.82,1540.09
2024-01,Ontario,Transportation,Part-time,Non-binary,15-24,18.22,18.82,637.34,611.72
2024-01,Ontario,Transportation,Part-time,Non-binary,25-34,36.35,36.56,1258.46,1335.15
2024-01,Ontario,Transportation,Part-time,Non-binary,35-44,46.97,44.99,1523.3,1385.8
2024-01,Ontario,Transportation,Part-time,Non-binary,45-54,45.13,45.03,1463.12,1354.59
2024-01,Ontario,Transportation,Part-time,Non-binary,55-64,46.94,47.61,1816.57,1650.14
2024-01,Ontario,Transportation,Part-time,Non-binary,65+,39.2,37.65,1333.14,1288.48
2024-01,Ontario,Information Technology,Full-time,Male,15-24,34.84,35.46,1053.49,1240.07
2024-01,Ontario,Information Technology,Full-time,Male,25-34,20.61,20.49,621.47,695.12
2024-01,Ontario,Information Technology,Full-time,Male,35-44,43.93,43.02,1603.5,1521.11
2024-01,Ontario,Information Technology,Full-time,Male,45-54,18.28,18.86,592.86,566.31
2024-01,Ontario,Information Technology,Full-time,Male,55-64,17.82,18.5,548.94,568.5
2024-01,Ontario,Information Technology,Full-time,Male,65+,23.14,23.28,812.82,739.67
2024-01,Ontario,Information Technology,Full-time,Female,15-24,16.35,15.97,537.6,605.28
2024-01,Ontario,Information Technology,Full-time,Female,25-34,27.5,27.86,920.43,1066.0
2024-01,Ontario,Information Technology,Full-time,Female,35-44,23.5,22.97,925.87,690.76
2024-01,Ontario,Information Technology,Full-time,Female,45-54,30.14,28.68,1152.99,1014.75
2024-01,Ontario,Information Technology,Full-time,Female,55-64,29.39,28.12,1136.9,1070.93
2024-01,Ontario,Information Technology,Full-time,Female,65+,34.07,34.55,1042.35,1297.94
2024-01,Ontario,Information Technology,Full-time,Non-binary,15-24,40.36,38.46,1551.24,1235.04
2024-01,Ontario,Information Technology,Full-time,Non-binary,25-34,31.77,31.88,991.75,1203.93
2024-01,Ontario,Information Technology,Full-time,Non-binary,35-44,24.97,23.89,971.64,944.98
2024-01,Ontario,Information Technology,Full-time,Non-binary,45-54,24.34,23.14,844.64,721.91
2024-01,Ontario,Information Technology,Full-time,Non-binary,55-64,19.85,19.32,697.52,659.28
2024-01,Ontario,Information Technology,Full-time,Non-binary,65+,45.75,46.53,1740.55,1441.55
2024-01,Ontario,Information Technology,Part-time,Male,15-24,38.19,37.66,1252.87,1220.16
2024-01,Ontario,Information Technology,Part-time,Male,25-34,40.55,42.23,1545.59,1664.23
2024-01,Ontario,Information Technology,Part-time,Male,35-44,42.46,41.35,1370.3,1393.66
2024-01,Ontario,Information Technology,Part-time,Male,45-54,42.73,41.27,1526.56,1370.35
2024-01,Ontario,Information Technology,Part-time,Male,55-64,35.14,33.6,1293.08,1331.13
2024-01,Ontario,Information Technology,Part-time,Male,65+,23.91,23.14,889.31,899.98
2024-01,Ontario,Information Technology,Part-time,Female,15-24,36.74,37.78,1219.67,1327.18
2024-01,Ontario,Information Technology,Part-time,Female,25-34,44.6,45.57,1401.52,1604.86
2024-01,Ontario,Information Technology,Part-time,Female,35-44,21.91,21.43,759.45,836.22
2024-01,Ontario,Information Technology,Part-time,Female,45-54,46.0,44.09,1711.58,1351.48
2024-01,Ontario,Information Technology,Part-time,Female,55-64,26.81,26.5,992.47,798.72
2024-01,Ontario,Information Technology,Part-time,Female,65+,28.5,28.92,923.73,1062.11
2024-01,Ontario,Information Technology,Part-time,Non-binary,15-24,23.02,22.1,721.71,796.68
2024-01,Ontario,Information Technology,Part-time,Non-binary,25-34,15.61,15.83,501.56,502.02
2024-01,Ontario,Information Technology,Part-time,Non-binary,35-44,38.23,38.68,1387.57,1480.14
2024-01,Ontario,Information Technology,Part-time,Non-binary,45-54,49.58,51.04,1691.54,1608.4
2024-01,Ontario,Information Technology,Part-time,Non-binary,55-64,28.3,28.99,1045.35,972.89
2024-01,Ontario,Information Technology,Part-time,Non-binary,65+,21.17,20.67,822.69,739.27
2024-01,Ontario,Finance,Full-time,Male,15-24,30.16,29.48,1082.72,911.25
2024-01,Ontario,Finance,Full-time,Male,25-34,24.12,23.31,913.6,823.64
2024-01,Ontario,Finance,Full-time,Male,35-44,37.35,36.04,1238.72,1206.34
2024-01,Ontario,Finance,Full-time,Male,45-54,18.27,17.95,655.96,689.86
2024-01,Ontario,Finance,Full-time,Male,55-64,20.7,20.19,727.16,683.57
2024-01,Ontario,Finance,Full-time,Male,65+,43.28,41.26,1689.39,1366.05
2024-01,Ontario,Finance,Full-time,Female,15-24,25.53,25.23,902.88,780.7
2024-01,Ontario,Finance,Full-time,Female,25-34,32.75,32.13,1093.89,1073.91
2024-01,Ontario,Finance,Full-time,Female,35-44,23.97,23.13,810.75,803.54
2024-01,Ontario,Finance,Full-time,Female,45-54,26.05,26.01,1009.8,937.06
2024-01,Ontario,Finance,Full-time,Female,55-64,38.33,37.98,1264.5,1344.82
2024-01,Ontario,Finance,Full-time,Female,65+,15.27,14.53,584.89,528.44
2024-01,Ontario,Finance,Full-time,Non-binary,15-24,32.43,30.93,1132.76,1071.63
2024-01,Ontario,Finance,Full-time,Non-binary,25-34,21.38,21.97,739.69,772.48
2024-01,Ontario,Finance,Full-time,Non-binary,35-44,31.89,30.53,1242.17,919.57
2024-01,Ontario,Finance,Full-time,Non-binary,45-54,22.41,22.22,790.23,699.91
2024-01,Ontario,Finance,Full-time,Non-binary,55-64,48.22,46.83,1683.12,1561.1
2024-01,Ontario,Finance,Full-time,Non-binary,65+,25.57,26.71,868.34,1036.23
2024-01,Ontario,Finance,Part-time,Male,15-24,47.18,47.67,1687.38,1906.06
2024-01,Ontario,Finance,Part-time,Male,25-34,24.46,24.9,896.08,753.07
2024-01,Ontario,Finance,Part-time,Male,35-44,44.87,47.01,1359.68,1800.26
2024-01,Ontario,Finance,Part-time,Male,45-54,23.73,23.32,777.22,865.74
2024-01,Ontario,Finance,Part-time,Male,55-64,17.4,17.13,622.08,547.25
2024-01,Ontario,Finance,Part-time,Male,65+,23.68,23.06,897.58,809.83
2024-01,Ontario,Finance,Part-time,Female,15-24,18.25,17.76,549.11,608.12
2024-01,Ontario,Finance,Part-time,Female,25-34,46.32,45.36,1528.11,1594.19
2024-01,Ontario,Finance,Part-time,Female,35-44,17.74,17.88,580.95,552.82
2024-01,Ontario,Finance,Part-time,Female,45-54,44.17,45.27,1496.39,1716.32
2024-01,Ontario,Finance,Part-time,Female,55-64,28.67,27.84,1053.73,996.46
2024-01,Ontario,Finance,Part-time,Female,65+,16.32,16.63,650.91,543.09
2024-01,Ontario,Finance,Part-time,Non-binary,15-24,37.33,36.51,1324.1,1144.56
2024-01,Ontario,Finance,Part-time,Non-binary,25-34,45.77,43.8,1465.6,1730.71
2024-01,Ontario,Finance,Part-time,Non-binary,35-44,17.88,18.11,669.8,604.3
2024-01,Ontario,Finance,Part-time,Non-binary,45-54,46.11,43.85,1511.35,1694.08
2024-01,Ontario,Finance,Part-time,Non-binary,55-64,16.67,17.27,596.45,689.09
2024-01,Ontario,Finance,Part-time,Non-binary,65+,47.19,47.63,1450.49,1696.22
2024-01,Ontario,Healthcare,Full-time,Male,15-24,47.33,47.99,1609.32,1596.96
2024-01,Ontario,Healthcare,Full-time,Male,25-34,45.14,45.07,1502.56,1652.3
2024-01,Ontario,Healthcare,Full-time,Male,35-44,41.19,39.86,1388.01,1518.87
2024-01,Ontario,Healthcare,Full-time,Male,45-54,21.88,22.39,668.29,768.32
2024-01,Ontario,Healthcare,Full-time,Male,55-64,32.47,31.6,1216.9,1030.54
2024-01,Ontario,Healthcare,Full-time,Male,65+,41.22,42.0,1443.47,1429.04
2024-01,Ontario,Healthcare,Full-time,Female,15-24,30.49,30.83,981.71,1155.59
2024-01,Ontario,Healthcare,Full-time,Female,25-34,31.96,32.93,1162.16,1257.47
2024-01,Ontario,Healthcare,Full-time,Female,35-44,18.77,19.53,613.1,759.97
2024-01,Ontario,Healthcare,Full-time,Female,45-54,40.89,39.24,1264.8,1287.92
2024-01,Ontario,Healthcare,Full-time,Female,55-64,44.62,44.76,1455.64,1391.22
2024-01,Ontario,Healthcare,Full-time,Female,65+,49.56,47.95,1812.87,1613.88
2024-01,Ontario,Healthcare,Full-time,Non-binary,15-24,41.0,41.25,1320.96,1285.27
2024-01,Ontario,Healthcare,Full-time,Non-binary,25-34,45.93,46.95,1752.41,1471.79
2024-01,Ontario,Healthcare,Full-time,Non-binary,35-44,46.99,45.06,1751.62,1490.19
2024-01,Ontario,Healthcare,Full-time,Non-binary,45-54,43.58,41.46,1614.47,1378.12
2024-01,Ontario,Healthcare,Full-time,Non-binary,55-64,18.49,18.66,674.62,732.75
2024-01,Ontario,Healthcare,Full-time,Non-binary,65+,24.02,22.88,920.2,813.22
2024-01,Ontario,Healthcare,Part-time,Male,15-24,36.35,36.38,1151.15,1290.46
2024-01,Ontario,Healthcare,Part-time,Male,25-34,25.64,25.24,903.66,905.5
2024-01,Ontario,Healthcare,Part-time,Male,35-44,47.4,48.8,1595.09,1593.83
2024-01,Ontario,Healthcare,Part-time,Male,45-54,31.85,30.32,1142.86,1076.47
2024-01,Ontario,Healthcare,Part-time,Male,55-64,46.45,48.42,1842.3,1887.87
2024-01,Ontario,Healthcare,Part-time,Male,65+,33.47,33.37,1280.57,1049.55
2024-01,Ontario,Healthcare,Part-time,Female,15-24,20.4,19.76,672.84,678.21
2024-01,Ontario,Healthcare,Part-time,Female,25-34,16.12,16.18,599.21,505.09
2024-01,Ontario,Healthcare,Part-time,Female,35-44,43.19,44.27,1568.94,1525.74
2024-01,Ontario,Healthcare,Part-time,Female,45-54,35.47,35.26,1167.18,1391.07
2024-01,Ontario,Healthcare,Part-time,Female,55-64,21.1,21.16,817.34,693.53
2024-01,Ontario,Healthcare,Part-time,Female,65+,45.08,43.85,1401.51,1491.73
2024-01,Ontario,Healthcare,Part-time,Non-binary,15-24,38.57,38.74,1261.16,1495.88
2024-01,Ontario,Healthcare,Part-time,Non-binary,25-34,33.0,33.22,1143.82,1079.81
2024-01,Ontario,Healthcare,Part-time,Non-binary,35-44,46.29,48.43,1533.55,1600.57
2024-01,Ontario,Healthcare,Part-time,Non-binary,45-54,25.0,24.34,929.53,956.23
2024-01,Ontario,Healthcare,Part-time,Non-binary,55-64,22.1,21.74,774.35,856.6
2024-01,Ontario,Healthcare,Part-time,Non-binary,65+,46.59,47.25,1784.39,1602.53
2024-01,Ontario,Education,Full-time,Male,15-24,36.29,36.79,1123.74,1136.92
2024-01,Ontario,Education,Full-time,Male,25-34,23.5,23.8,913.12,948.18
2024-01,Ontario,Education,Full-time,Male,35-44,18.46,17.84,612.29,597.87
2024-01,Ontario,Education,Full-time,Male,45-54,30.35,29.76,1047.42,1188.6
2024-01,Ontario,Education,Full-time,Male,55-64,30.28,30.29,1078.31,936.96
2024-01,Ontario,Education,Full-time,Male,65+,26.57,26.86,854.82,1036.28
2024-01,Ontario,Education,Full-time,Female,15-24,19.85,20.62,727.25,793.35
2024-01,Ontario,Education,Full-time,Female,25-34,34.36,33.15,1236.26,1027.93
2024-01,Ontario,Education,Full-time,Female,35-44,26.44,26.2,797.94,1018.33
2024-01,Ontario,Education,Full-time,Female,45-54,35.49,36.72,1350.81,1426.92
2024-01,Ontario,Education,Full-time,Female,55-64,46.81,49.11,1857.6,1661.88
2024-01,Ontario,Education,Full-time,Female,65+,19.43,18.75,726.02,695.04
2024-01,Ontario,Education,Full-time,Non-binary,15-24,44.12,43.55,1763.88,1454.67
2024-01,Ontario,Education,Full-time,Non-binary,25-34,28.89,29.76,1031.33,917.39
2024-01,Ontario,Education,Full-time,Non-binary,35-44,17.3,18.12,551.17,596.18
2024-01,Ontario,Education,Full-time,Non-binary,45-54,21.93,22.61,707.44,772.95
